tau,C1,C1_err,C2raw,C2raw_err,C2conn,C2conn_err,C3,C3_err
9.45,0.0189534,0.0444167,2.19417,0.0374483,-0.0223055,0.00573064,0.0278491,0.135052
9.5,0.0181367,0.044296,2.19456,0.0373254,-0.021912,0.00568283,0.0256557,0.134838
9.55,0.0173071,0.0441928,2.19497,0.0371979,-0.0215007,0.00564514,0.0235523,0.13467
9.6,0.0164602,0.0441082,2.1954,0.0370697,-0.0210762,0.00562484,0.0215291,0.134545
9.65,0.0155908,0.0440428,2.19583,0.0369443,-0.0206442,0.00562718,0.0195525,0.134465
9.7,0.0146932,0.0439973,2.19626,0.0368254,-0.020211,0.00565583,0.0175913,0.13443
9.75,0.0137626,0.043972,2.19669,0.0367151,-0.0197805,0.0057111,0.0156182,0.134438
9.8,0.0127946,0.0439671,2.19711,0.0366152,-0.0193604,0.00579035,0.0136157,0.13449
9.85,0.0117856,0.0439827,2.19752,0.0365259,-0.0189484,0.00588763,0.0115666,0.134582
9.9,0.0107333,0.0440185,2.19793,0.0364468,-0.0185432,0.00599553,0.0094636,0.134715
9.95,0.00963677,0.0440745,2.19833,0.036376,-0.0181393,0.00610551,0.00729948,0.134885
10,0.00849657,0.0441504,2.19875,0.036311,-0.017727,0.00620921,0.00507863,0.135093
10.05,0.00731523,0.0442457,2.19917,0.0362491,-0.0172987,0.00629884,0.0028117,0.135339
10.1,0.00609646,0.0443601,2.19963,0.0361874,-0.0168436,0.00636838,0.000502353,0.135622
10.15,0.00484472,0.0444929,2.20012,0.0361236,-0.0163535,0.00641392,-0.00185231,0.135944
10.2,0.00356593,0.0446433,2.20065,0.0360554,-0.0158262,0.00643401,-0.0042572,0.136305
10.25,0.00226712,0.0448105,2.20121,0.0359817,-0.0152617,0.00643023,-0.00672187,0.136705
10.3,0.000955852,0.0449934,2.20181,0.0359023,-0.014663,0.00640626,-0.00925278,0.137144
10.35,-0.00035985,0.0451909,2.20243,0.0358174,-0.01404,0.00636779,-0.0118533,0.137622
10.4,-0.00167257,0.0454016,2.20307,0.0357276,-0.0134031,0.00632172,-0.0145416,0.138143
10.45,-0.00297483,0.0456242,2.2037,0.0356346,-0.0127721,0.00627519,-0.0173226,0.138705
10.5,-0.0042592,0.0458571,2.20431,0.0355387,-0.0121649,0.00623441,-0.0201883,0.13931
10.55,-0.0055197,0.0460987,2.20487,0.0354407,-0.011599,0.00620339,-0.0231308,0.139954
10.6,-0.0067503,0.0463475,2.20538,0.0353409,-0.0110941,0.0061839,-0.0261236,0.140638
10.65,-0.00794803,0.0466021,2.20581,0.0352389,-0.010665,0.00617578,-0.0291669,0.141359
10.7,-0.00911041,0.046861,2.20615,0.0351343,-0.0103239,0.00617702,-0.0322469,0.142115
10.75,-0.0102369,0.047123,2.2064,0.0350265,-0.0100731,0.00618514,-0.0353621,0.142902
10.8,-0.0113281,0.0473871,2.20656,0.034915,-0.00991126,0.00619775,-0.0385132,0.143716
10.85,-0.0123867,0.0476525,2.20664,0.0347997,-0.00982971,0.00621407,-0.0417129,0.144555
10.9,-0.0134157,0.0479183,2.20666,0.0346802,-0.00981476,0.00623417,-0.044952,0.145413
