tau,C1,C1_err,C2raw,C2raw_err,C2conn,C2conn_err,C3,C3_err
9.7,0.073702,0.0795844,3.64635,0.0493638,-0.0317332,0.0131693,0.526246,0.510637
9.75,0.0759229,0.0798674,3.64409,0.0493943,-0.0339939,0.0135538,0.564574,0.512274
9.8,0.0771668,0.0801038,3.63812,0.0492492,-0.0399642,0.0137817,0.562258,0.513613
9.85,0.0776445,0.0802853,3.63684,0.0493587,-0.0412444,0.0139201,0.548164,0.516643
9.9,0.078271,0.0803937,3.63508,0.048885,-0.0430025,0.0138676,0.552371,0.517718
9.95,0.078499,0.0804173,3.63053,0.0482442,-0.047549,0.0134414,0.561733,0.516296
10,0.0784688,0.0804125,3.63304,0.0475246,-0.0450369,0.0130629,0.551951,0.51486
10.05,0.0777341,0.0803303,3.63128,0.047143,-0.0467959,0.0129815,0.53647,0.512911
10.1,0.0776227,0.0801939,3.63083,0.0469115,-0.0472535,0.0130466,0.554166,0.511223
10.15,0.0769578,0.0800527,3.63497,0.0468707,-0.04311,0.0132577,0.557127,0.51128
10.2,0.0758983,0.0798582,3.63822,0.0470039,-0.0398552,0.0126592,0.557767,0.510352
10.25,0.0746176,0.0796266,3.64194,0.0473171,-0.0361415,0.01246,0.558915,0.509317
10.3,0.0727012,0.0793593,3.64503,0.04797,-0.0330473,0.0125392,0.525402,0.509183
10.35,0.0711128,0.0790244,3.6485,0.0479236,-0.0295817,0.012081,0.494349,0.50661
10.4,0.0697469,0.0786772,3.65115,0.048123,-0.026926,0.0116753,0.486072,0.502996
10.45,0.0683306,0.0783226,3.6565,0.047905,-0.0215838,0.0109841,0.501472,0.499987
10.5,0.0667964,0.0779457,3.65696,0.0481115,-0.0211176,0.0110548,0.509228,0.495718
10.55,0.0648547,0.0775313,3.65691,0.0481612,-0.0211739,0.0116302,0.514718,0.490866
10.6,0.0626897,0.077063,3.65612,0.0481055,-0.0219561,0.0118701,0.501308,0.484858
10.65,0.0607235,0.0766043,3.65586,0.0481885,-0.0222159,0.0119613,0.489939,0.480917
10.7,0.0579995,0.0761508,3.65192,0.0485785,-0.0261641,0.0117562,0.45796,0.478529
10.75,0.0554539,0.0756713,3.64782,0.0489959,-0.0302553,0.0119748,0.42841,0.475858
10.8,0.0524007,0.0751308,3.64679,0.0494401,-0.0312916,0.0122882,0.381566,0.471943
10.85,0.0492379,0.0745795,3.64523,0.0497315,-0.0328474,0.0127106,0.327513,0.469158
10.9,0.0462647,0.0740433,3.64406,0.0495858,-0.0340164,0.0126914,0.292577,0.465177
10.95,0.0433913,0.0735069,3.64548,0.0494578,-0.0326037,0.0124107,0.258749,0.460847
11,0.0408347,0.0729601,3.64721,0.0494005,-0.030869,0.0117743,0.215248,0.45668
11.05,0.0382836,0.0724338,3.64384,0.0493802,-0.03424,0.0112926,0.188852,0.451431
11.1,0.0359231,0.0719041,3.64164,0.0493035,-0.0364423,0.0108476,0.186055,0.449357
11.15,0.0337092,0.0713684,3.6416,0.0491848,-0.0364761,0.0105785,0.18103,0.44755
11.2,0.0315313,0.070845,3.64152,0.0489566,-0.0365592,0.0101753,0.17971,0.445456
11.25,0.0291719,0.0702993,3.64298,0.0484746,-0.0351031,0.0100094,0.178747,0.441858
11.3,0.0266257,0.0697326,3.64265,0.0478904,-0.0354332,0.0098815,0.163212,0.439517
11.35,0.0237953,0.0691543,3.64242,0.0476702,-0.0356568,0.00973701,0.141922,0.437354
11.4,0.0213409,0.0685887,3.64157,0.0473365,-0.0365118,0.00991309,0.121792,0.43487
11.45,0.019309,0.0680258,3.63919,0.0470081,-0.0388916,0.0101945,0.0988815,0.432249
11.5,0.0169556,0.0675042,3.63967,0.0469417,-0.0384125,0.0106495,0.0676962,0.430097
11.55,0.0149677,0.0669927,3.6413,0.0472483,-0.0367813,0.0108943,0.0708677,0.426607
11.6,0.0132328,0.0664852,3.64176,0.0469918,-0.0363148,0.011158,0.0634647,0.422211
11.65,0.0120314,0.0660177,3.64618,0.0468088,-0.0318962,0.0111588,0.0730426,0.420665
11.7,0.0109098,0.0655232,3.64446,0.0465222,-0.0336179,0.0112606,0.0823934,0.416971
11.75,0.010048,0.0650191,3.6419,0.0464255,-0.0361834,0.011217,0.0944778,0.411385
11.8,0.00872174,0.0645374,3.64063,0.0464735,-0.037448,0.0110838,0.0822179,0.407128
11.85,0.00747486,0.0640959,3.64097,0.0460702,-0.0371061,0.0111526,0.07773,0.404505
11.9,0.00620298,0.0636754,3.64338,0.0462064,-0.0346984,0.0113708,0.0576958,0.402655
11.95,0.00564855,0.0633347,3.64364,0.046254,-0.0344402,0.0113004,0.0775554,0.402887
12,0.00528984,0.0630308,3.6386,0.0463394,-0.0394747,0.0109852,0.0899166,0.402002
12.05,0.00486815,0.062767,3.6394,0.0464845,-0.0386828,0.0109616,0.0940327,0.402639
12.1,0.0052507,0.0624837,3.63994,0.0466028,-0.0381352,0.01085,0.110233,0.401555
12.15,0.00559744,0.0622035,3.6401,0.0469337,-0.037979,0.0106612,0.124677,0.400645
12.2,0.00555931,0.0619358,3.64197,0.0468198,-0.0361093,0.0111549,0.123274,0.398781
12.25,0.00529477,0.0616388,3.63928,0.0469378,-0.0387948,0.0118664,0.12042,0.395498
12.3,0.00454697,0.0613112,3.63871,0.0468677,-0.039372,0.0123557,0.0828841,0.390044
12.35,0.00409888,0.0610397,3.63998,0.046726,-0.0380991,0.0124261,0.0605409,0.386943
12.4,0.00420504,0.0608138,3.64024,0.0467521,-0.0378419,0.0123794,0.0456188,0.386704
12.45,0.00425054,0.0606219,3.64472,0.0469385,-0.033356,0.0123907,0.0292609,0.386666
12.5,0.00457344,0.0604782,3.64961,0.0471977,-0.028472,0.0124008,0.0368938,0.387929
12.55,0.0053779,0.0603276,3.65197,0.0472731,-0.0261137,0.0121659,0.0689471,0.389337
12.6,0.00595297,0.0602012,3.65465,0.0475824,-0.0234309,0.0123177,0.0554816,0.389831
12.65,0.00681945,0.060068,3.65487,0.0480483,-0.023212,0.012716,0.0685956,0.389265
12.7,0.0075181,0.0599804,3.65647,0.0482719,-0.0216051,0.0130812,0.0754717,0.391044
12.75,0.00807346,0.0598794,3.65849,0.0482943,-0.0195941,0.012868,0.0730151,0.39158
12.8,0.00849002,0.0597752,3.65897,0.0483707,-0.0191053,0.0123948,0.0763368,0.392512
12.85,0.00907366,0.0596322,3.65877,0.048611,-0.0193077,0.0122327,0.09402,0.391823
12.9,0.00937712,0.0594742,3.65797,0.0486656,-0.0201117,0.0123389,0.0955808,0.388591
12.95,0.00954864,0.0593267,3.65853,0.0486096,-0.0195466,0.012404,0.106192,0.387889
13,0.0100414,0.0591833,3.65693,0.0483396,-0.0211499,0.0124587,0.0987539,0.387838
13.05,0.0102759,0.0590384,3.6559,0.0478852,-0.0221753,0.0123473,0.10068,0.389078
13.1,0.0105785,0.0588762,3.65319,0.0478626,-0.0248875,0.0121887,0.0911165,0.390399
13.15,0.0107316,0.0587263,3.64977,0.0476652,-0.02831,0.0118535,0.0714094,0.389558
13.2,0.0111384,0.0585809,3.65076,0.0476583,-0.027321,0.0123415,0.0715839,0.388817
13.25,0.0117658,0.058409,3.64819,0.0477183,-0.0298876,0.012662,0.0835908,0.389091
13.3,0.012867,0.0582408,3.65059,0.0477241,-0.0274918,0.0130193,0.099683,0.387549
13.35,0.0147172,0.0580233,3.64982,0.0476133,-0.0282631,0.0128361,0.161262,0.386043
13.4,0.0166575,0.0577986,3.6541,0.0476433,-0.0239782,0.0124916,0.213303,0.384603
13.45,0.0181717,0.0575581,3.65907,0.0474541,-0.0190107,0.0124888,0.243079,0.3813
13.5,0.0193083,0.0573003,3.66076,0.047141,-0.0173232,0.0120658,0.245386,0.376526
13.55,0.0207729,0.0570625,3.66249,0.0469979,-0.0155893,0.0116501,0.260115,0.372234
13.6,0.022137,0.0567964,3.66283,0.0468374,-0.0152469,0.0115991,0.278608,0.367265
13.65,0.023813,0.0566001,3.66416,0.0466595,-0.0139233,0.0114331,0.316002,0.367126
13.7,0.0253093,0.0564132,3.66472,0.0467147,-0.0133628,0.0113524,0.327965,0.36824
13.75,0.0267781,0.0561929,3.66109,0.0468717,-0.0169879,0.011476,0.318165,0.366032
13.8,0.0285194,0.0560101,3.65888,0.0472044,-0.0191974,0.011748,0.325427,0.364177
13.85,0.0300325,0.0558711,3.66034,0.0472748,-0.0177374,0.011884,0.32236,0.3631
13.9,0.0315083,0.0557143,3.65896,0.0471131,-0.0191211,0.0114489,0.323504,0.361053
13.95,0.0334626,0.0555703,3.65452,0.0470014,-0.0235636,0.0111292,0.324654,0.361001
14,0.0353424,0.0554017,3.65139,0.0469748,-0.0266943,0.010845,0.341854,0.360661
