tau,mean,std_err
22.9,0.0333485,0.0531793
22.95,0.0323862,0.0527073
23,0.0314897,0.0523049
23.05,0.0304109,0.0520015
23.1,0.0296653,0.0517722
23.15,0.0282173,0.0514594
23.2,0.0267231,0.0511614
23.25,0.0247653,0.0508431
23.3,0.0231936,0.0504384
23.35,0.022236,0.0499733
23.4,0.0212569,0.0494782
23.45,0.0208091,0.0490211
23.5,0.0202622,0.0486394
23.55,0.019318,0.0484296
23.6,0.0183052,0.0482549
23.65,0.0168373,0.0481682
23.7,0.0150297,0.0480179
23.75,0.0131415,0.0479143
23.8,0.0116195,0.0477534
23.85,0.0101018,0.0476608
23.9,0.00837076,0.0477288
23.95,0.00724453,0.047768
24,0.00683524,0.0477439
24.05,0.00689744,0.0475702
24.1,0.00670026,0.0473607
24.15,0.00666335,0.0471649
24.2,0.00714982,0.0470731
24.25,0.00694947,0.0470492
24.3,0.0067149,0.0470716
24.35,0.00627613,0.0470556
24.4,0.00523871,0.0469216
24.45,0.00456985,0.0467349
24.5,0.0037059,0.0465975
24.55,0.00246375,0.0465024
24.6,0.00121888,0.0464428
24.65,-0.000118868,0.0464312
24.7,-0.00165835,0.0464487
24.75,-0.00348393,0.0464726
24.8,-0.00476,0.0464673
24.85,-0.00570291,0.0464497
24.9,-0.00686874,0.0464578
24.95,-0.00740432,0.0464199
25,-0.0084202,0.0464516
25.05,-0.00871465,0.0465421
25.1,-0.0084902,0.0466895
25.15,-0.00822638,0.0468639
25.2,-0.00747748,0.0469404
25.25,-0.00682513,0.0470102
25.3,-0.00634402,0.0469996
25.35,-0.00579446,0.0469258
25.4,-0.00555896,0.0467753
25.45,-0.00458281,0.0465349
25.5,-0.00367793,0.04633
25.55,-0.00231662,0.0460692
25.6,-0.00172698,0.0459032
25.65,-0.00172759,0.0457133
25.7,-0.00105383,0.0455498
25.75,-0.0011008,0.0453149
25.8,-0.000690148,0.0450387
25.85,-0.000241689,0.0447495
25.9,0.00047773,0.0444152
25.95,0.000768595,0.0441259
26,0.00162621,0.0439834
26.05,0.00164383,0.0438644
26.1,0.00113121,0.0437712
26.15,0.000931121,0.0437906
26.2,0.000679107,0.0438409
26.25,0.00117652,0.0439825
26.3,0.0014583,0.0441114
26.35,0.0019157,0.0442034
26.4,0.00233721,0.0443433
26.45,0.00268205,0.044484
26.5,0.00316306,0.0446177
26.55,0.00372103,0.0447003
26.6,0.00350935,0.0447294
26.65,0.00306661,0.044666
26.7,0.00345242,0.0445384
26.75,0.00370421,0.0443287
26.8,0.00487696,0.0442277
26.85,0.00601576,0.0441381
26.9,0.00662223,0.0441434
26.95,0.00666841,0.0441411
27,0.0059695,0.0440687
27.05,0.00494815,0.0439803
27.1,0.00418554,0.0439944
27.15,0.002658,0.0439867
27.2,0.00171323,0.0439708
27.25,0.000629035,0.0439777
27.3,-0.000430065,0.0439721
27.35,-0.00056366,0.043921
27.4,-0.000540591,0.0438551
27.45,-0.00106029,0.0437121
27.5,-0.00122103,0.0435978
27.55,-0.00138503,0.0435453
27.6,-0.00143631,0.04352
27.65,-0.000892092,0.0435096
27.7,-0.000638849,0.0433826
27.75,-0.000816684,0.0432842
27.8,0.000175591,0.0431926
27.85,0.0010899,0.0431328
27.9,0.00212631,0.043108
27.95,0.00289383,0.0430834
28,0.00313785,0.0431079
28.05,0.00337504,0.0431312
28.1,0.00333684,0.0430604
28.15,0.00336022,0.0428911
28.2,0.00302239,0.0428699
28.25,0.00259782,0.0427171
28.3,0.0018066,0.0426167
28.35,0.0013808,0.0425835
28.4,0.000791611,0.0425531
28.45,-0.000632106,0.0426577
28.5,-0.00191595,0.0428328
28.55,-0.00274631,0.0429673
28.6,-0.00313557,0.0431634
28.65,-0.00386244,0.0432393
28.7,-0.00486637,0.0432211
28.75,-0.00602924,0.0431362
28.8,-0.00679301,0.0430111
28.85,-0.00766327,0.0428208
28.9,-0.00881038,0.0427547
28.95,-0.0105845,0.0426889
29,-0.0113725,0.0426757
29.05,-0.0121929,0.0426696
29.1,-0.0125385,0.0426063
29.15,-0.012721,0.0426211
29.2,-0.012428,0.0426002
29.25,-0.0121699,0.0426631
29.3,-0.0119221,0.0427455
29.35,-0.011245,0.0427743
29.4,-0.0112652,0.0427288
29.45,-0.0112323,0.0427649
29.5,-0.0113178,0.0428024
29.55,-0.0103312,0.0428688
29.6,-0.00901793,0.0429518
29.65,-0.00812788,0.0431093
29.7,-0.00761596,0.0432621
29.75,-0.00703345,0.0435008
29.8,-0.00682308,0.0436773
29.85,-0.00676388,0.0437719
29.9,-0.00633207,0.0437812
29.95,-0.00594335,0.0438181
30,-0.00598967,0.043825
30.05,-0.00632532,0.0438223
30.1,-0.00696651,0.0437142
30.15,-0.00784069,0.0437277
30.2,-0.00853303,0.0436994
30.25,-0.0101398,0.0436544
30.3,-0.0111987,0.0435435
30.35,-0.0124786,0.0434085
30.4,-0.0131603,0.0432596
30.45,-0.0134504,0.0431845
30.5,-0.0134331,0.0431509
30.55,-0.0131828,0.0431772
30.6,-0.0121611,0.0431414
30.65,-0.0120416,0.0431207
