source,trial,sep
mc,55,3.19125
mc,56,0.0564555
mc,56,4.88063
mc,56,0.382046
mc,56,2.58671
mc,56,0.936862
mc,56,2.09967
mc,56,0.174873
mc,56,0.316332
mc,56,0.115797
mc,56,1.742
mc,56,1.13714
mc,56,0.00685019
mc,56,3.37622
mc,56,1.67173
mc,56,0.165704
mc,56,1.52925
mc,56,0.0255518
mc,56,3.85606
mc,56,0.770322
mc,56,2.68627
mc,56,0.0765986
mc,56,2.59251
mc,56,0.0915136
mc,56,0.350018
mc,56,2.77648
mc,56,5.5964
mc,57,2.14151
mc,57,4.27561
mc,57,8.68668
mc,57,0.0250101
mc,57,5.71273
mc,57,0.162965
mc,57,0.0256212
mc,57,5.27678
mc,57,1.85022
mc,57,0.556219
mc,57,1.58211
mc,57,0.268815
mc,57,0.120997
mc,57,0.283808
mc,57,0.867537
mc,57,8.16338
mc,58,0.27847
mc,58,1.81396
mc,58,0.372644
mc,58,0.0754721
mc,58,5.17675
mc,58,3.82313
mc,58,0.1927
mc,58,2.74904
mc,58,0.217834
mc,58,0.153835
mc,58,0.97992
mc,58,0.354941
mc,58,0.773905
mc,58,0.697993
mc,58,5.85515
mc,58,0.0628734
mc,58,1.70632
mc,58,0.0955938
mc,58,3.02975
mc,58,11.5897
mc,59,2.98168
mc,59,0.207502
mc,59,4.37209
mc,59,0.214493
mc,59,5.37559
mc,59,3.0925
mc,59,0.0368552
mc,59,0.1504
mc,59,9.911
mc,59,0.20568
mc,59,0.0107511
mc,59,1.96552
mc,59,0.0783713
mc,59,2.13619
mc,59,0.575497
mc,59,4.59433
mc,59,1.03195
mc,59,3.0596
mc,60,0.823596
mc,60,4.56756
mc,60,2.54149
mc,60,0.21118
mc,60,5.84443
mc,60,0.967399
mc,60,1.37287
mc,60,0.242777
mc,60,0.274995
mc,60,0.0333863
mc,60,2.96807
mc,60,2.12467
mc,60,1.14248
mc,60,0.0183318
mc,60,0.495004
mc,60,0.238749
mc,60,4.03188
mc,60,1.64545
mc,60,0.119708
mc,60,6.64109
mc,60,0.190448
mc,60,3.50444
mc,61,3.10645
mc,61,0.0650479
mc,61,12.0935
mc,61,2.39277
mc,61,5.29928
mc,61,11.5061
mc,61,3.4668
mc,61,2.07003
mc,62,8.45051
mc,62,0.229043
mc,62,0.158855
mc,62,0.0561726
mc,62,0.191917
mc,62,0.430755
mc,62,0.0256129
mc,62,6.42841
mc,62,0.186103
mc,62,2.77574
mc,62,4.97205
mc,62,2.0308
mc,62,8.31019
mc,62,0.461743
