tau,C1,C1_err,C2raw,C2raw_err,C2conn,C2conn_err,C3,C3_err
33.4,-0.0430335,0.0657605,3.30891,0.00300291,-0.00399148,0.00302193,-0.162436,0.248249
33.45,-0.0434385,0.0663269,3.30903,0.00301046,-0.00386675,0.00302839,-0.163565,0.250271
33.5,-0.0438317,0.0669416,3.30914,0.00300645,-0.00375908,0.00302342,-0.164655,0.252468
33.55,-0.0440155,0.0675373,3.30923,0.00299149,-0.00366858,0.00300761,-0.164968,0.2546
33.6,-0.0441846,0.0681724,3.3093,0.00296608,-0.00359468,0.00298153,-0.165264,0.256881
33.65,-0.0443385,0.0688426,3.30936,0.00293079,-0.00353615,0.00294575,-0.165549,0.259299
33.7,-0.044086,0.069446,3.30941,0.00288635,-0.00349089,0.00290103,-0.164312,0.261461
33.75,-0.0438201,0.0700717,3.30944,0.00283389,-0.0034558,0.00284853,-0.163041,0.263708
33.8,-0.0433462,0.0706713,3.30947,0.00277516,-0.00342665,0.00279003,-0.160946,0.265853
33.85,-0.0430576,0.0712757,3.3095,0.00271276,-0.00339793,0.00272815,-0.159477,0.268017
33.9,-0.0429541,0.0718985,3.30954,0.0026503,-0.00336298,0.00266651,-0.158574,0.270248
33.95,-0.0431925,0.0725393,3.30958,0.00259246,-0.00331416,0.00260976,-0.158577,0.272534
34,-0.0434032,0.0731851,3.30966,0.00254482,-0.0032433,0.00256346,-0.158205,0.274834
34.05,-0.0435769,0.073833,3.30976,0.00251343,-0.00314226,0.00253357,-0.157411,0.277142
34.1,-0.0435047,0.0744587,3.30989,0.00250406,-0.00300362,0.00252574,-0.155406,0.279368
34.15,-0.0431711,0.0750434,3.31008,0.00252113,-0.00282144,0.00254426,-0.152165,0.281454
34.2,-0.042558,0.0756179,3.31031,0.00256671,-0.00259188,0.00259107,-0.147688,0.283516
34.25,-0.0418416,0.0761841,3.31058,0.00263983,-0.00231371,0.0026651,-0.142754,0.285568
34.3,-0.040806,0.0767288,3.31091,0.00273648,-0.00198858,0.0027623,-0.136675,0.287561
34.35,-0.039628,0.0772629,3.31128,0.00285019,-0.001621,0.0028762,-0.1303,0.289543
34.4,-0.0382916,0.077785,3.31168,0.00297304,-0.00121803,0.00299893,-0.123738,0.291512
34.45,-0.0365891,0.0782859,3.31211,0.00309674,-0.000788784,0.00312224,-0.116343,0.293431
34.5,-0.0345172,0.078767,3.31255,0.00321354,-0.000343738,0.0032384,-0.108217,0.295307
34.55,-0.0319234,0.0791584,3.313,0.00331689,0.000105972,0.00334092,-0.0990179,0.29687
34.6,-0.0289571,0.0795289,3.31345,0.00340189,0.000549189,0.00342492,-0.0890006,0.29838
34.65,-0.0260266,0.0797563,3.31387,0.00346546,0.000975248,0.00348734,-0.0796129,0.29937
34.7,-0.0229575,0.0799691,3.31427,0.00350633,0.00137431,0.00352693,-0.0700196,0.30032
34.75,-0.0197741,0.080168,3.31464,0.00352478,0.0017375,0.003544,-0.0601182,0.30123
34.8,-0.0163051,0.0803521,3.31496,0.00352236,0.00205698,0.00354014,-0.0490534,0.302096
34.85,-0.0129568,0.080516,3.31522,0.00350144,0.00232593,0.00351774,-0.0381409,0.302901
34.9,-0.0093641,0.0805871,3.31544,0.00346473,0.00253852,0.00347958,-0.0258902,0.303365
34.95,-0.00554251,0.0805718,3.31559,0.00341495,0.00269002,0.00342844,-0.0122735,0.30351
35,-0.00169824,0.080549,3.31568,0.00335461,0.00277693,0.00336687,0.00194635,0.303632
35.05,0.00196774,0.0805179,3.3157,0.00328593,0.00279724,0.00329717,0.0159764,0.303718
35.1,0.00604339,0.0804107,3.31565,0.00321107,0.00275069,0.00322152,0.0320191,0.303503
35.15,0.0103368,0.0803059,3.31554,0.00313233,0.00263894,0.00314225,0.049263,0.303277
35.2,0.0146061,0.0801601,3.31536,0.00305241,0.00246573,0.00306206,0.0668894,0.302888
35.25,0.0194783,0.0799759,3.31514,0.00297446,0.00223682,0.00298406,0.0871007,0.302324
35.3,0.0243801,0.0797936,3.31486,0.00290198,0.00195982,0.00291169,0.107589,0.301725
35.35,0.0293273,0.0796141,3.31454,0.00283842,0.00164383,0.00284831,0.128314,0.301083
35.4,0.0343364,0.0794375,3.3142,0.00278677,0.0012991,0.00279679,0.149252,0.300394
35.45,0.0396197,0.0792596,3.31384,0.00274919,0.000936508,0.00275917,0.171147,0.299636
35.5,0.0451953,0.0790155,3.31347,0.00272682,0.000567165,0.0027365,0.194041,0.298571
35.55,0.0508805,0.0787675,3.3131,0.00271982,0.000201891,0.00272888,0.217214,0.297422
35.6,0.0568226,0.0785081,3.31275,0.00272757,-0.000149253,0.00273566,0.241466,0.296225
35.65,0.0627315,0.0782027,3.31242,0.0027488,-0.000477472,0.00275559,0.265425,0.294784
35.7,0.0688175,0.0778926,3.31212,0.00278166,-0.000775735,0.00278689,0.289907,0.29327
35.75,0.0754054,0.0775821,3.31186,0.00282358,-0.00103923,0.00282709,0.315873,0.291711
35.8,0.0822122,0.0772597,3.31163,0.00287123,-0.00126569,0.00287298,0.34253,0.290111
35.85,0.0892459,0.0769217,3.31144,0.00292053,-0.00145553,0.00292057,0.369913,0.288492
35.9,0.0965132,0.0765649,3.31129,0.00296684,-0.00161172,0.00296534,0.398049,0.28687
35.95,0.104216,0.0761783,3.31116,0.00300546,-0.00173939,0.00300268,0.427719,0.285231
36,0.112162,0.0757685,3.31105,0.0030322,-0.00184517,0.00302845,0.458196,0.283596
36.05,0.120746,0.0753548,3.31096,0.00304392,-0.00193639,0.00303955,0.491004,0.282055
36.1,0.129591,0.0749146,3.31088,0.00303896,-0.00202026,0.00303434,0.524773,0.280512
36.15,0.139073,0.0744177,3.3108,0.00301733,-0.00210305,0.00301284,0.560821,0.27881
36.2,0.148996,0.07387,3.31071,0.00298066,-0.00218952,0.00297663,0.598378,0.276947
36.25,0.15916,0.0733041,3.31062,0.00293183,-0.00228249,0.00292859,0.636644,0.27503
36.3,0.169561,0.0727232,3.31052,0.00287457,-0.00238273,0.00287239,0.67557,0.273055
36.35,0.18019,0.0721305,3.31041,0.00281291,-0.00248891,0.00281198,0.715109,0.271016
36.4,0.191816,0.0714784,3.3103,0.00275066,-0.00259785,0.00275111,0.758219,0.268727
36.45,0.203644,0.0708181,3.31019,0.00269114,-0.00270468,0.00269298,0.801895,0.266358
36.5,0.215657,0.0701523,3.3101,0.00263698,-0.0028032,0.00264014,0.846143,0.263908
36.55,0.227835,0.0694827,3.31001,0.00259018,-0.00288618,0.00259449,0.890984,0.261381
36.6,0.239963,0.0687714,3.30995,0.00255228,-0.00294564,0.00255752,0.935699,0.258637
36.65,0.252218,0.0680437,3.30993,0.0025246,-0.0029733,0.00253051,0.981075,0.255788
