tau,C1,C1_err,C2conn,C2conn_err,C3,C3_err
7.85,0.017099,0.0424072,-0.0117779,0.0118824,0.0161977,0.18668
7.9,0.0159745,0.0424299,-0.0105377,0.0123973,0.0150141,0.187301
7.95,0.0154845,0.0425206,-0.00695343,0.012352,0.017878,0.189209
8,0.0151231,0.0424816,-0.00688589,0.0126575,0.0167648,0.189413
8.05,0.0151256,0.0424187,-0.00750009,0.0129585,0.0348161,0.190367
8.1,0.0145224,0.0423978,-0.0136834,0.0130701,0.0580232,0.191619
8.15,0.0136525,0.0424579,-0.0165837,0.0132194,0.0642396,0.192648
8.2,0.0126006,0.0426172,-0.0163933,0.0128974,0.0641943,0.193556
8.25,0.0121922,0.0427463,-0.012321,0.0120504,0.0789264,0.194394
8.3,0.0111406,0.0428331,-0.00881468,0.0116263,0.0703932,0.195628
8.35,0.00984145,0.0428988,-0.00659049,0.0116903,0.0777202,0.198299
8.4,0.00895305,0.042899,-0.00354653,0.0119105,0.0758734,0.200282
8.45,0.00717578,0.0428032,-0.00354292,0.012036,0.0658456,0.201334
8.5,0.0050875,0.0427128,-0.00371866,0.0115566,0.0570866,0.203546
8.55,0.00336959,0.0426531,-0.00912755,0.011423,0.053099,0.204611
8.6,0.00176697,0.042708,-0.0117838,0.0111645,0.0438366,0.204822
8.65,0.000550996,0.0427687,-0.0115527,0.0102942,0.0393554,0.205149
8.7,-0.000605149,0.0427996,-0.0104581,0.00996171,0.0350759,0.203074
8.75,-0.00221527,0.0428349,-0.00824225,0.0101749,0.0313228,0.202559
8.8,-0.00391366,0.0428926,-0.00761126,0.0104324,0.0194438,0.202784
8.85,-0.00475807,0.0430009,-0.00408653,0.010215,0.0267345,0.204541
8.9,-0.00558445,0.0430582,-0.00129819,0.0102463,0.0257594,0.20664
8.95,-0.00641885,0.0431219,0.000530132,0.0105584,0.027714,0.209451
9,-0.00763773,0.0432426,0.00306634,0.0109319,0.0179298,0.213714
9.05,-0.00858688,0.0433287,0.00379639,0.0113585,0.0159349,0.21664
9.1,-0.00901598,0.0433502,0.0085691,0.011593,0.0230518,0.217578
9.15,-0.00979099,0.0433479,0.00491443,0.0118012,0.0235902,0.21556
9.2,-0.0105164,0.0432851,0.00107426,0.012067,0.0112254,0.213841
9.25,-0.0109801,0.0432381,-0.00470275,0.0118896,0.00146986,0.212815
9.3,-0.0111189,0.0432048,-0.0111864,0.0120795,-0.0072188,0.211051
9.35,-0.0120416,0.0431207,-0.0146262,0.0125925,-0.0140144,0.209002
9.4,-0.0121611,0.0431414,-0.018716,0.0128892,-0.0144035,0.208501
9.45,-0.0131828,0.0431772,-0.0220475,0.013454,-0.0161303,0.207484
9.5,-0.0134331,0.0431509,-0.0191296,0.0135387,-0.0075498,0.206056
9.55,-0.0134504,0.0431845,-0.0140215,0.0136858,0.000574155,0.206207
9.6,-0.0131603,0.0432596,-0.0111708,0.0138273,0.0145707,0.207474
9.65,-0.0124786,0.0434085,-0.00705357,0.0136074,0.0333355,0.208264
