conf,kind,k,tau
31,1,7,29.4881
31,1,8,31.7988
31,1,9,32.3449
31,-1,0,6.84601
31,-1,1,7.35675
31,-1,2,11.6601
31,-1,3,28.8651
31,-1,4,29.8513
31,-1,5,35.4397
31,-1,6,38.4174
31,-1,7,39.7606
32,1,0,0.987048
32,1,1,5.26411
32,1,2,6.38318
32,1,3,12.9566
32,1,4,18.4401
32,1,5,23.6779
32,1,6,26.2564
32,1,7,29.4881
32,1,8,31.7988
32,1,9,32.3449
32,-1,0,6.84601
32,-1,1,7.35675
32,-1,2,11.6601
32,-1,3,28.8651
32,-1,4,29.8513
32,-1,5,35.4397
32,-1,6,38.4174
32,-1,7,39.7606
33,1,0,0.987048
33,1,1,5.26411
33,1,2,6.38318
33,1,3,12.9566
33,1,4,18.4401
33,1,5,23.6779
33,1,6,26.2564
33,1,7,29.4881
33,1,8,31.7988
33,1,9,32.3449
33,-1,0,6.84601
33,-1,1,7.35675
33,-1,2,11.6601
33,-1,3,28.8651
33,-1,4,29.8513
33,-1,5,35.4397
33,-1,6,38.3709
33,-1,7,39.7606
34,1,0,0.987048
34,1,1,5.26411
34,1,2,6.38318
34,1,3,12.9566
34,1,4,18.4401
34,1,5,23.6779
34,1,6,26.2564
34,1,7,29.4881
34,1,8,31.7988
34,1,9,32.3449
34,-1,0,6.84601
34,-1,1,7.35675
34,-1,2,11.6601
34,-1,3,28.8651
34,-1,4,29.8513
34,-1,5,35.4397
34,-1,6,38.3709
34,-1,7,39.7606
35,1,0,0.987048
35,1,1,5.26411
35,1,2,6.38318
35,1,3,12.9566
35,1,4,18.4401
35,1,5,23.6779
35,1,6,26.2564
35,1,7,29.4881
35,1,8,31.7988
35,1,9,32.3449
35,-1,0,6.84601
35,-1,1,7.35675
35,-1,2,11.6601
35,-1,3,28.8651
35,-1,4,29.8513
35,-1,5,35.4397
35,-1,6,38.3709
35,-1,7,39.7606
36,1,0,0.987048
36,1,1,5.26411
36,1,2,6.38318
36,1,3,12.9566
36,1,4,18.4401
36,1,5,23.6779
36,1,6,26.2564
36,1,7,29.5227
36,1,8,31.7988
36,1,9,32.3449
36,-1,0,6.84601
36,-1,1,7.35675
36,-1,2,11.6601
36,-1,3,28.8651
36,-1,4,29.8513
36,-1,5,35.4397
36,-1,6,38.3709
36,-1,7,39.7606
37,1,0,0.987048
37,1,1,5.26411
37,1,2,6.38318
37,1,3,12.9566
37,1,4,18.4401
37,1,5,23.6779
37,1,6,26.2564
37,1,7,29.5227
37,1,8,31.7988
37,1,9,32.3449
37,-1,0,6.84601
37,-1,1,7.35675
37,-1,2,11.6601
37,-1,3,28.8651
37,-1,4,29.8513
37,-1,5,35.4397
37,-1,6,38.3709
37,-1,7,39.7606
38,1,0,0.987048
38,1,1,5.25987
38,1,2,6.38318
38,1,3,12.9566
38,1,4,18.4401
38,1,5,23.6779
38,1,6,26.2564
38,1,7,29.5227
38,1,8,31.7988
38,1,9,32.3449
38,-1,0,6.84601
38,-1,1,7.35675
38,-1,2,11.6601
38,-1,3,28.8651
38,-1,4,29.8513
38,-1,5,35.4397
38,-1,6,38.3709
38,-1,7,39.7606
39,1,0,0.987048
39,1,1,5.25987
39,1,2,6.38318
39,1,3,12.9566
39,1,4,18.4401
39,1,5,23.6779
39,1,6,26.2564
39,1,7,29.5227
39,1,8,31.7988
39,1,9,32.4689
39,-1,0,6.84601
39,-1,1,7.35675
39,-1,2,11.6601
39,-1,3,28.8651
39,-1,4,29.8513
39,-1,5,35.4397
39,-1,6,38.3709
39,-1,7,39.7606
40,1,0,0.987048
40,1,1,5.25987
40,1,2,6.38318
40,1,3,12.9566
40,1,4,18.4401
40,1,5,23.6779
40,1,6,26.2564
40,1,7,29.5227
40,1,8,31.7988
40,1,9,32.5379
40,-1,0,6.84601
40,-1,1,7.35675
40,-1,2,11.6601
40,-1,3,28.8651
40,-1,4,29.8513
40,-1,5,35.4397
40,-1,6,38.3709
40,-1,7,39.7606
41,1,0,0.987048
41,1,1,5.25987
41,1,2,6.42629
41,1,3,12.9566
41,1,4,18.4401
41,1,5,23.6779
41,1,6,26.2564
41,1,7,29.5227
41,1,8,31.7988
41,1,9,32.5379
41,-1,0,6.84601
41,-1,1,7.35675
41,-1,2,11.6601
41,-1,3,28.8651
41,-1,4,29.8513
41,-1,5,35.4397
41,-1,6,38.3709
41,-1,7,39.7606
42,1,0,0.987048
42,1,1,5.25987
42,1,2,6.42629
42,1,3,12.9566
42,1,4,18.4401
42,1,5,23.6779
42,1,6,26.2564
42,1,7,29.5227
42,1,8,31.7988
42,1,9,32.5379
42,-1,0,6.84601
42,-1,1,7.35675
42,-1,2,11.6601
42,-1,3,28.8651
42,-1,4,29.8513
42,-1,5,35.4397
42,-1,6,38.3709
42,-1,7,39.7606
43,1,0,0.987048
43,1,1,5.37368
43,1,2,6.42629
43,1,3,12.9566
43,1,4,18.4401
43,1,5,23.6779
43,1,6,26.2564
43,1,7,29.5227
43,1,8,31.7988
43,1,9,32.5379
43,-1,0,6.84601
43,-1,1,7.35675
43,-1,2,11.6601
43,-1,3,28.8651
43,-1,4,29.8513
43,-1,5,35.4397
43,-1,6,38.3709
43,-1,7,39.7606
44,1,0,0.987048
44,1,1,5.37368
44,1,2,6.42629
44,1,3,12.9566
44,1,4,18.4401
44,1,5,23.6779
44,1,6,26.2564
44,1,7,29.5227
44,1,8,31.7988
44,1,9,32.5379
44,-1,0,6.7492
44,-1,1,7.35675
44,-1,2,11.6601
44,-1,3,28.8651
44,-1,4,29.8513
44,-1,5,35.4397
44,-1,6,38.3709
44,-1,7,39.7606
45,1,0,0.987048
45,1,1,5.37368
45,1,2,6.42629
45,1,3,12.9566
45,1,4,18.4401
45,1,5,23.6779
45,1,6,26.2564
45,1,7,29.5227
45,1,8,31.7988
45,1,9,32.5379
45,-1,0,6.7492
45,-1,1,7.35675
45,-1,2,11.6601
45,-1,3,28.8651
45,-1,4,29.8513
45,-1,5,35.3807
45,-1,6,38.3709
45,-1,7,39.7606
46,1,0,0.987048
46,1,1,5.37368
46,1,2,6.42629
46,1,3,12.9566
46,1,4,18.4401
46,1,5,23.6779
46,1,6,26.2298
