tau,mean,std_err
23.9,-0.0263596,0.0560851
23.95,-0.024517,0.0561102
24,-0.0227007,0.056127
24.05,-0.0209188,0.0561362
24.1,-0.0191791,0.056139
24.15,-0.0174889,0.0561366
24.2,-0.0158545,0.0561304
24.25,-0.0142815,0.0561217
24.3,-0.0127746,0.0561121
24.35,-0.0113375,0.0561031
24.4,-0.0099735,0.056096
24.45,-0.00868533,0.0560923
24.5,-0.00747407,0.0560932
24.55,-0.00634126,0.0560997
24.6,-0.00528777,0.0561129
24.65,-0.00431399,0.0561333
24.7,-0.0034208,0.0561612
24.75,-0.00260847,0.0561971
24.8,-0.00187702,0.0562407
24.85,-0.0012266,0.0562919
24.9,-0.000657337,0.0563504
24.95,-0.00016856,0.0564156
25,0.000239663,0.0564869
25.05,0.000568401,0.0565634
25.1,0.000818095,0.0566445
25.15,0.000989963,0.0567291
25.2,0.00108483,0.0568161
25.25,0.00110356,0.0569047
25.3,0.00104776,0.0569937
25.35,0.000918225,0.0570818
25.4,0.000716251,0.057168
25.45,0.000443809,0.0572511
25.5,0.000102452,0.05733
25.55,-0.000306724,0.0574037
25.6,-0.000782037,0.0574713
25.65,-0.00132135,0.057532
25.7,-0.0019235,0.0575851
25.75,-0.00258586,0.0576302
25.8,-0.00330678,0.0576671
25.85,-0.00408425,0.0576955
25.9,-0.00491711,0.0577156
25.95,-0.00580366,0.0577274
26,-0.00674318,0.0577313
26.05,-0.0077348,0.0577278
26.1,-0.00877796,0.0577174
26.15,-0.00987243,0.0577009
26.2,-0.0110187,0.0576788
26.25,-0.012217,0.057652
26.3,-0.0134674,0.057621
26.35,-0.0147698,0.0575865
26.4,-0.0161227,0.0575488
26.45,-0.0175238,0.0575086
26.5,-0.0189693,0.0574662
26.55,-0.0204545,0.0574215
26.6,-0.0219722,0.0573747
26.65,-0.023514,0.0573256
26.7,-0.0250703,0.0572739
26.75,-0.0266298,0.0572194
26.8,-0.0281801,0.0571614
26.85,-0.0297083,0.0570996
26.9,-0.0312004,0.0570334
26.95,-0.0326425,0.0569622
27,-0.0340202,0.0568852
27.05,-0.0353196,0.056802
27.1,-0.0365274,0.056712
27.15,-0.0376322,0.0566145
27.2,-0.0386229,0.0565089
27.25,-0.0394908,0.0563946
27.3,-0.0402281,0.0562714
27.35,-0.0408288,0.0561388
27.4,-0.0412893,0.0559968
27.45,-0.041607,0.0558451
27.5,-0.0417822,0.0556837
27.55,-0.0418166,0.0555129
27.6,-0.0417133,0.0553329
27.65,-0.0414775,0.055144
27.7,-0.0411152,0.0549467
27.75,-0.0406336,0.0547415
27.8,-0.0400404,0.0545288
27.85,-0.0393446,0.0543093
27.9,-0.0385557,0.0540834
27.95,-0.0376835,0.053852
28,-0.0367384,0.0536154
28.05,-0.0357305,0.0533743
28.1,-0.0346706,0.0531292
28.15,-0.0335692,0.0528805
28.2,-0.0324369,0.052629
28.25,-0.0312843,0.052375
28.3,-0.0301212,0.0521189
28.35,-0.0289566,0.0518611
28.4,-0.0277984,0.051602
28.45,-0.0266539,0.0513419
28.5,-0.0255287,0.0510811
28.55,-0.0244266,0.0508198
28.6,-0.0233499,0.0505581
28.65,-0.0222989,0.050296
28.7,-0.0212724,0.0500336
28.75,-0.0202679,0.0497708
28.8,-0.0192817,0.0495076
28.85,-0.0183086,0.0492439
28.9,-0.0173425,0.0489797
28.95,-0.0163766,0.048715
29,-0.0154043,0.0484498
29.05,-0.0144196,0.0481841
29.1,-0.0134157,0.0479183
29.15,-0.0123867,0.0476525
29.2,-0.0113281,0.0473871
29.25,-0.0102369,0.047123
