tau,C(tau)
38.35,0.387164
38.4,0.412211
38.45,0.441148
38.5,0.465571
38.55,0.488358
38.6,0.508017
38.65,0.530966
38.7,0.550995
38.75,0.571412
38.8,0.590168
38.85,0.60985
38.9,0.625578
38.95,0.640975
39,0.663645
39.05,0.679027
39.1,0.699346
39.15,0.720168
39.2,0.746626
39.25,0.771764
39.3,0.798694
39.35,0.822566
39.4,0.8485
39.45,0.868842
39.5,0.887474
39.55,0.910896
39.6,0.938296
39.65,0.966314
39.7,0.993167
39.75,1.02215
39.8,1.05592
39.85,1.08805
39.9,1.12112
39.95,1.15769
